SizeRank,SizeRank,DisplayName,PrimaryPayerId,Other Names,Aliases IDs,OperatingStates,Programs,WebsiteUrl,Credentialing,Credentialing,Eligibility Checks,Patient Cost Estimates,Patient Cost Estimates,Submit Claims,Receive ERAs,Enroll to receive ERAs,ERA enrollment type,ERA enrollment timeline,CoverageTypes
573,573,Community Health Plan of Washington,CHPWA,CHPW|Community healthfirst medicare advantage,10329|10421|1927|3445|CHFMA|CHPWA|CHPWAMA|SB613|WACHP|WFSQL,WA,COMMERCIAL|MEDICARE|MEDICAID,https://www.chpw.org,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,dental|medical|vision
518,518,CareSource Ohio Medicaid,3150,CareSource Ohio Medicaid MCE|CareSource Ohio Medicaid Managed Care Entity,00031|0003150|03150|14383|7070|9458|CSDENMCD2|EJVIF|SKOH1|SKOH2|SKOH6,OH,MEDICAID,https://www.caresource.com,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,MULTI_STEP,WEEKS,dental|medical|vision
295,295,Blue Shield of California Medicare Advantage Encounters,99105,,99105,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,
729,729,Healthcare Highways Health Plan,HCHHP,HCH Health Plan|Healthcare Highways,1280|3087|6526|8713|HCH01|HCHHP|PEVTQ,,,https://www.healthcarehighways.com,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,medical
239,239,Blue Cross Community Centennial,GNMMD1,Blue Cross and Blue Shield of New Mexico|Health Care Service Corporation,1243|14296|4570|GNMMD1|MC721,NM,MEDICAID,https://www.bcbsnm.com,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,medical|vision
418,418,Medicare Virginia Part A,11003,Medicare West Virginia Part A|Palmetto GBA (PGBA) - Virginia,11003|IMVA0|IMWV0,VA,MEDICARE,https://www.cms.gov,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,MULTI_STEP,WEEKS,dental|medical
3006,3006,Delta Dental of New Jersey,22189,Delta Dental of Connecticut,00372|10719|10727|22189,NJ,,https://www.deltadentalnj.com,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,ONE_CLICK,WEEKS,dental
683,683,FrontPath Health Coalition,34171,FrontPath Coalition,1966|2299|34171,,,https://frontpathcoalition.com,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,medical
866,866,Washington County General Fund,WCHGF,,77111|WCHGF,OR,,https://www.washingtoncountyor.gov,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,MULTI_STEP,HOURS,
532,532,Sentara Health Plans,54154,Optima Health Behavioral Health|Optima Health Community Care|Sentara Behavioral Health Services|Sentara Health Administration|Sentara Health Insurance Company|Sentara Health Management,00453|10477|1285|54154|54154A|54154MA|5415M|7499|OPTSNT|ULACG|VACMS|YEXEB,VA,,https://www.sentarahealthplans.com,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,MULTI_STEP,HOURS,dental|medical
2882,2882,Chinatown Service Center,R3478,CSC|Chinatown Service Centre,R3478,CA,MEDICAID,https://www.cscla.org,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,MULTI_STEP,HOURS,dental|medical
3347,3347,Edison Revolution,89425,Edison Health Solutions,89425,,,http://www.edisonehs.com,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,medical
3179,3179,Syntriq Health Solutions,SNTRQ,,SNTRQ,,COMMERCIAL,https://syntriqhealth.com,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,medical
1961,1961,Carpenters Benefit Plan,CWSTL,Carpenters Health And Welfare Trust Funds|Carpenters Health and Welfare Trust Fund of St Louis|Mid-America Carpenters Regional Benefit Services|Mid-America Carpenters Regional Council,11161|8846|CARHLT|CWSTL|TLW06,,COMMERCIAL,https://laborfunds.org,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,medical
2042,2042,Coworx Staffing LLC,J1046,CoWorx Staffing LLC,J1046,,WORKERS_COMPENSATION,https://www.coworxstaffing.com,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
2184,2184,Berkley Specialty Underwriters,TP019,W. R. Berkley Corporation,TP019,,,https://www.berkley.com,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
2005,2005,CWIBenefits,57080,CWI Benefits|ClaimsWare Incorporated|ManageMed,57080,,COMMERCIAL,http://www.cwibenefits.com,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,MULTI_STEP,HOURS,medical
3292,3292,Charles Taylor,J4258,,J4258,,WORKERS_COMPENSATION,https://www.charlestaylor.com,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,
887,887,"Masters, Mates, and Pilots Plan",MMPHB,"International Organization of Masters, Mates & Pilots|MM&P",MMPHB,,COMMERCIAL,https://bridgedeck.org,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,
